circuit_fault_analysis/ssa2670-130,82,327
circuit_fault_analysis/ssa2670-141,91,377
bmc-ibm-2/bmc-ibm-2,119,573
mrpp/mrpp_4x4#4_4,208,1538
aes/aes_64_1_keyfind_1,320,2088
circuit_fault_analysis/bf0432-007,473,2038
aes/aes_32_3_keyfind_2,450,2204
mrpp/mrpp_4x4#4_5,309,2517
mrpp/mrpp_4x4#6_5,330,2721
inductive-inference/ii32e3,284,4974
cmu-bmc/cmu-bmc-barrel6,602,4533
inductive-inference/ii32d2,367,5116
aes/aes_24_4_keyfind_2,320,5424
aes/aes_24_4_keyfind_4,320,5424
bmc-ibm-2/bmc-ibm-7,860,4797
bitverification/minor032,751,5130
bitverification/countbitsrotate016,1122,4555
bmc-ibm-2/bmc-ibm-5,1068,6042
mrpp/mrpp_4x4#8_8,717,6773
bitverification/smulo016,1459,6288
inductive-inference/ii32a1,370,9123
AProVE/AProVE07-03,1317,7448
combinationalequivalencecheck/sat_prob_83,1759,8012
bitverification/countbitssrl016,1691,8378
cmu-bmc/cmu-bmc-longmult15,1731,9791
bitverification/countbitsarray02_32,2202,9416
bitverification/mulhs016,2589,10400
bitverification/minxorminand032,1751,13938
AProVE/AProVE07-08,2481,12625
combinationalequivalencecheck/sat_prob_3,2860,13998
hwmcc/g2-hwmcc15deep-6s399b02-k02,3394,14336
hwmcc/g2-hwmcc15deep-6s399b03-k02,3516,14837
planning/mrpp_4x4#10_20.processed.cnf,2135,21720
planning/mrpp_4x4#10_9.processed.cnf,859,8333
planning/mrpp_4x4#12_12.processed.cnf,1197,11737
planning/mrpp_4x4#4_24.processed.cnf,2217,21443
planning/mrpp_4x4#4_4.processed.cnf,215,1629
planning/mrpp_4x4#4_5.processed.cnf,315,2620
planning/mrpp_4x4#6_16.processed.cnf,1446,13684
planning/mrpp_4x4#6_20.processed.cnf,1846,17576
planning/mrpp_4x4#6_5.processed.cnf,341,2903
planning/mrpp_4x4#8_8.processed.cnf,736,7138
planning/mrpp_6x6#10_10.processed.cnf,2144,22792
planning/mrpp_6x6#10_8.processed.cnf,1630,17009
planning/mrpp_6x6#12_16.processed.cnf,3642,38813
planning/mrpp_6x6#12_8.processed.cnf,1551,15788
planning/mrpp_6x6#14_24.processed.cnf,5746,61542
planning/mrpp_6x6#16_12.processed.cnf,2959,32961
planning/mrpp_6x6#16_24.processed.cnf,6451,72980
planning/mrpp_6x6#16_9.processed.cnf,2085,22775
planning/mrpp_6x6#18_12.processed.cnf,3012,34288
planning/mrpp_6x6#18_9.processed.cnf,2131,23816
planning/mrpp_6x6#20_10.processed.cnf,2426,27348
planning/mrpp_8x8#12_9.processed.cnf,2917,30296
planning/mrpp_8x8#16_12.processed.cnf,4845,55247
planning/mrpp_8x8#18_12.processed.cnf,5053,59727
planning/mrpp_8x8#18_13.processed.cnf,5543,65687
planning/mrpp_8x8#20_16.processed.cnf,7024,82943
planning/mrpp_8x8#22_10.processed.cnf,4096,48344
planning/mrpp_8x8#22_11.processed.cnf,4583,54297
planning/mrpp_8x8#24_11.processed.cnf,4487,51742
planning/mrpp_8x8#24_14.processed.cnf,5968,69687
planning/mrpp_8x8#24_16.processed.cnf,6946,81265
planning/mrpp_8x8#24_20.processed.cnf,8902,103966
planning/mrpp_8x8#8_9.processed.cnf,2686,26671
